N,P,K,temperature,humidity,ph,rainfall,soil_type
58.00619049491845,33.79612735041268,69.65253833156095,19.467902264164074,72.64463169723855,7.0668746784086585,679.8250979184139,Loamy
62.0738860125722,54.2872928649445,64.38432386926242,24.405103668716343,67.87909550234671,7.1374532890463955,426.55823982705,Loamy
76.00615580257876,45.462815833555766,40.179680183254575,21.625486670036782,61.14120586275188,7.343441195883477,474.4243085292815,Loamy
82.24790156466172,34.58775289427975,40.51073694247904,28.288455302766266,66.84938671095196,7.1959060276297295,606.686549565899,Loamy
63.090050623872436,33.172871603267694,64.68772107830831,22.261703582338882,75.02338985881298,7.225562041875481,588.4528901860886,Loamy
59.092899335300935,31.771849555696743,51.49015460734928,24.42933769314734,65.32725621004109,7.137307777107456,446.08873200285,Loamy
72.43784651791542,53.77105866485682,40.0650456380221,29.29385993231963,74.53933455241676,6.317763353027531,549.4128503128026,Loamy
48.956785049526104,31.01955974011907,64.04140076279621,29.207165501837334,75.6278523342634,6.183478717945218,439.5970083546306,Loamy
72.52780484368627,41.01263858616137,54.098334443275256,23.653628217068764,63.123836176621765,6.626691450810577,553.739424109459,Loamy
49.83255665339227,41.92986114597109,63.35184875020063,29.399854246142027,73.26553367407926,7.28347965666243,385.4819030601379,Loamy
42.95161133203231,37.494265816854394,43.191997238190346,21.410265534866166,74.87671635473478,6.133314760671365,474.8963418923286,Loamy
58.6031273353338,30.34848663226391,40.03172865641145,30.105393532241624,58.64429366773562,6.659477532047405,670.9585478133156,Loamy
44.89416222450406,60.58753041457669,59.51466910193788,26.864819953543154,59.395018536336735,6.52240360462668,597.8056992668048,Loamy
59.088635598311015,38.937567147857514,76.2602155720111,26.697149737983054,72.9936705459257,6.448009589120979,436.5214911900111,Loamy
51.37957798036437,46.10164393009036,73.79682243185485,22.949738296542858,67.54443488764201,7.484601983879353,505.18290563163475,Loamy
69.9183483740319,49.68267832859041,60.04320128686548,22.7539983545329,62.22893868865133,6.3728038610030415,477.86241863515716,Loamy
44.612115055058915,45.84210388629237,77.93265909139114,22.54089726564992,60.53641315285776,6.6174700583123895,729.9421706117636,Loamy
41.287430677153075,52.59050167442513,58.79759441679537,23.619043546169575,75.08688423988154,7.232678276042009,573.3994891322999,Loamy
39.38699123204565,58.84563985965946,77.13157345977423,27.348948483314945,76.28940149107,6.864984766814088,560.129054640055,Loamy
67.19312079623543,46.60638697948497,73.37658968485923,22.75310424305546,76.59320732742457,6.572268101488191,708.5714752160042,Loamy
47.20260211585167,35.31276410017086,65.35777494674838,24.610883554014336,69.67711524598589,7.414239875120775,681.3059058741463,Loamy
47.00642682774342,36.895104512647094,47.765264224918354,28.774254353870585,73.64807633140018,5.983238198623434,503.7844601293571,Loamy
70.46743735143734,58.18626828632937,61.88970578256725,20.89699879279084,61.06357787053413,7.045948239282228,775.4384553301092,Loamy
